,Unnamed: 0,S#,Date,Islamic Date,Blast Day Type,Holiday Type,Time,City,Latitude,Longitude,Province,Location,Location Category,Location Sensitivity,Open/Closed Space,Influencing Event/Event,Target Type,Targeted Sect if any,Killed Min,Killed Max,Injured Min,Injured Max,No. of Suicide Blasts,Explosive Weight (max),Hospital Names,Temperature(C),Temperature(F),Day,Date-old,Islamic Date Old,coordinates,Islamic Month,Year,Weights
0,0,1,1995-11-19,<ummalqura.hijri_date.HijriDate object at 0x122caed30>,Holiday,Weekend,,islamabad,33.718,73.0718,capital,Egyptian Embassy,Foreign,High,Closed,,Foreigner,None,14.0,15.0,,60,2.0,,,15.835,60.503,Sunday,Sunday-November 19-1995,25 Jumaada al-THaany 1416 A.H,"(33.718,73.0718)",6,1995,0
1,1,2,2000-11-06,<ummalqura.hijri_date.HijriDate object at 0x122caeef0>,Working Day,,,karachi,24.9918,66.9911,sindh,office of Nawa-e-Waqt,Office Building,Low,Closed,,Media,None,,3.0,,3,1.0,,,23.77,74.786,Monday,Monday-November 6-2000,10 SHa`baan 1421 A.H,"(24.9918,66.9911)",8,2000,0
2,2,3,2002-05-08,<ummalqura.hijri_date.HijriDate object at 0x122caef60>,Working Day,,7:45 AM,karachi,24.9918,66.9911,sindh,Pakistan Navy bus Parked outside Five Star Sheraton Hotel ,Hotel,Medium,Closed,,Foreigner,Christian,13.0,15.0,20.0,40,1.0,2.5 Kg,1.Jinnah Postgraduate Medical Center 2. Civil Hospital Karachi 3. PN Shifa,31.46,88.62799999999999,Wednesday,Wednesday-May 8-2002,25 safar 1423 A.H,"(24.9918,66.9911)",2,2002,2
3,3,4,2002-06-14,<ummalqura.hijri_date.HijriDate object at 0x122caef98>,Working Day,,11:10:00 AM,karachi,24.9918,66.9911,sindh,US Consulate Civil Lines Area ,Foreign,High,Closed,,Foreigner,Christian,,12.0,,51,1.0,,,31.43,88.574,Friday,Friday-June 14-2002,3 Raby` al-THaany 1423 A.H,"(24.9918,66.9911)",4,2002,0
4,4,5,2003-07-04,<ummalqura.hijri_date.HijriDate object at 0x122766ba8>,Working Day,,,quetta,30.2095,67.0182,baluchistan,Imambargah MeCongy Road Quetta,Religious,Medium,Closed,during Friday prayer,Religious,Shiite,44.0,47.0,,65,1.0,,1.CMH Quetta  2.Civil Hospital 3. Boland Medical Complex,33.12,91.616,Friday,Friday-July 4-2003,4 Jumaada al-awal 1424 A.H,"(30.2095,67.0182)",5,2003,0
5,5,6,2003-12-25,<ummalqura.hijri_date.HijriDate object at 0x122766fd0>,Holiday,Christmas/birthday of Quaid-e-Azam,1:40:00 PM/1:42:00 PM,rawalpindi,33.6058,73.0437,punjab,Jhanda Chichi area rawalpindi ,Mobile,Low,Open,president's/chief of army staff convoy passing from there,Military,None,16.0,18.0,,50,2.0,30kg in each car,1.District headquarters  Hospital ,9.445,49.00100000000001,Thursday,Thursday-December 25-2003,2 Thw al-Qi`dah 1424 A.H.,"(33.6058,73.0437)",11,2003,30
6,6,7,2004-02-28,<ummalqura.hijri_date.HijriDate object at 0x122766eb8>,Working Day,,,rawalpindi,33.6058,73.0437,punjab,Yadgar-i-Hussaini in Satellite Town,Religious,Medium,Closed,maghrib prayer was in process,Religious,shiite,,1.0,3.0,4,1.0,,,15.275,59.495,Saturday,Saturday-February 28-2004,8 MuHarram 1425 A.H,"(33.6058,73.0437)",1,2004,0
7,7,8,2004-05-07,<ummalqura.hijri_date.HijriDate object at 0x122766be0>,Working Day,,1:20:00/1:17:00 PM,karachi,24.9918,66.9911,sindh,Karachi Shia mosque Sindh Madrassatul Islam,Religious,Medium,Closed,Friday prayer was in progress,Religious,shiite,14.0,15.0,96.0,200,1.0,2kg,Civil hospital ,33.86,92.948,Friday,Friday-May 7-2004,18 Raby` al-awal 1425 A.H,"(24.9918,66.9911)",3,2004,2
8,8,9,2004-05-31,<ummalqura.hijri_date.HijriDate object at 0x11f6a8400>,Working Day,,evening,karachi,24.9918,66.9911,sindh,Imambargah off M.A Jinnah road near Numaish intersection,Religious,Medium,Closed,,Religious,Shiite,16.0,18.0,,35,1.0,,Civil hospital-Liaquat National hospital-Jinnah Postgraduate Medical Center,31.605,88.889,Monday,Monday-May 31-2004,,"(24.9918,66.9911)",4,2004,0
9,9,10,2004-06-03,<ummalqura.hijri_date.HijriDate object at 0x1226ff898>,Working Day,,,north waziristan,32.9746,70.1456,fata,checkpost in north waziristan-close to Afghanistan border,Military,High,Open,,Military,None,,2.0,,2,1.0,,,27.18,80.92399999999998,Thursday,Thursday-June 3-2004,15 Raby` al-THaany 1425 A.H,"(32.9746,70.1456)",4,2004,0
10,10,11,2004-07-28,<ummalqura.hijri_date.HijriDate object at 0x122c8ddd8>,Working Day,,8:50:PM,kohat,33.5833,71.4333,kpk,Near military facility/official Residence of General Officer Commanding,Residence,High,Closed,Army,Military,None,2.0,3.0,,3,2.0,,CMH Kohat,32.43,90.374,Wednesday,Wednesday-July 28-2004,11 Jumaada al-THaany 1425 A.H,"(33.5833,71.4333)",6,2004,0
11,11,12,2004-07-30,<ummalqura.hijri_date.HijriDate object at 0x122c8db70>,Working Day,,7:20 PM,attock,33.7645,72.3667,punjab, Mr Aziz election rally in jaffar village in fateh jang,Park/Ground,Low,Open,Election rally ,Government Official,None,,7.0,44.0,70,1.0,,1.District Headquarters hospital-rwp 2.PIMS Hospital 3. Tehsil headquarters hospital-Fateh Jang,26.665,79.997,Friday,Friday-July 30-2004,13 Jumaada al-THaany 1425 A.H,"(33.7645,72.3667)",6,2004,0
12,12,13,2004-10-01,<ummalqura.hijri_date.HijriDate object at 0x122c8dc50>,Working Day,,1:27 PM/1:25 PM,sialkot,32.4972,74.5361,punjab,zainabia mosque-just a Km away from city police station on Raja road,Religious,Medium,Closed,Friday prayer,Religious,shiite,25.0,31.0,50.0,75,1.0,,Allama Iqbal Memorial DHQ Hospital-Sardar Begum Hospital-and numner of other hospitals in Sialkot-Daska-Gujranwala and Lahore,27.51,81.518,Friday,Friday-October 1-2004,17 SHa`baan 1425 A.H,"(32.4972,74.5361)",8,2004,0
13,13,14,2004-10-10,<ummalqura.hijri_date.HijriDate object at 0x122c8dc88>,Holiday,Weekend,5:55:00/6:40:00 PM,lahore,31.5451,74.3407,punjab,Jamia Masjid Kashmirian in Mochi Gate,Religious,Medium,Closed,Jamia Masjid /Shia Mosque,Religious,shiite,4.0,5.0,6.0,10,1.0,,Mayo Hospital ,24.39,75.902,Sunday,Sunday-October 10-2004,26 SHa`baan 1425 A.H.,"(31.5451,74.3407)",8,2004,0
14,14,15,2005-03-19,<ummalqura.hijri_date.HijriDate object at 0x122cf5160>,Working Day,,11.45PM /10.30 pm,quetta,30.2095,67.0182,baluchistan,Gandava Town Shrine,Religious,Medium,Closed,Urs Ceremony,Religious,Shiite,25.0,50.0,8.0,100,1.0,,,16.5,61.7,Saturday,Saturday-March 19-2005,9 safar 1426 A.H,"(30.2095,67.0182)",2,2005,0
15,15,16,2005-04-28,<ummalqura.hijri_date.HijriDate object at 0x122cf5048>,Working Day,,,swat,35.2227,72.4258,kpk,Baidara village of Matta-District Swat ,Park/Ground,Low,Open,,civilian,None,,2.0,,,1.0,,,19.935,67.883,Thursday,Thursday-April 28-2005,19 Raby` al-awal 1426 A.H,"(35.2227,72.4258)",3,2005,0
16,16,17,2005-05-27,<ummalqura.hijri_date.HijriDate object at 0x122cf5198>,Working Day,,11:00:00 AM,islamabad,33.718,73.0718,capital,Shrine of Bari Imam,Religious,Medium,Closed,Shia Muslim Annual  Congregation ,Civilian,Shiite/sunni,20.0,25.0,82.0,100,1.0,,1. PIMS 2.Polyclinic 3.CDA Hospital 4.federal govt services 5.rwp generl hosp,27.16,80.888,Friday,Friday-May 27-2005,19 Raby` al-THaany 1426 A.H,"(33.718,73.0718)",4,2005,0
17,17,18,2005-05-30,<ummalqura.hijri_date.HijriDate object at 0x122cf5a90>,Working Day,,evening,karachi,24.9918,66.9911,sindh,Courtyard of an Imambargah(Madinatul Ilm ) in Gulshan e Iqbal ,Religious,Medium,Closed,evening prayer,Religious,shiite,5.0,6.0,19.0,30,1.0,,1. Patel Hospital 2. JMPC,31.945,89.501,Monday,Monday-May 30-2005,22 Raby` al-THaany 1426 A.H,"(24.9918,66.9911)",4,2005,0
18,18,19,2006-02-09,<ummalqura.hijri_date.HijriDate object at 0x122cf5b38>,Holiday,Ashura,9:35:00 AM,hangu,33.5351,71.0713,kpk,Hangu-Tall road-Ashura Procession,Park/Ground,Low,Open,Ashura Day,Religious,Shiite,37.0,40.0,90.0,,1.0,,Hangu Hospital ,15.495,59.89100000000001,Thursday,Thursday-February 9-2006,10 MuHarram 1427 A.H,"(33.5351,71.0713)",1,2006,0
19,19,20,2006-03-02,<ummalqura.hijri_date.HijriDate object at 0x122cf5b70>,Working Day,,9:00:00 AM,karachi,24.9918,66.9911,sindh,Infront of USA consulate near marriott hotel,Hotel,Medium,Open,Terrorists attacked convoy of david foy-american diplomat.,Foreigner,Christian,4.0,5.0,30.0,54,1.0,10-15 kg,,25.3,77.54,Thursday,Thursday-March 2-2006,2 safar 1427 A.H.,"(24.9918,66.9911)",2,2006,15
20,20,21,2006-04-12,<ummalqura.hijri_date.HijriDate object at 0x122cf5be0>,Holiday,Eid Milad un-Nabi,7.00 pm,karachi,24.9918,66.9911,sindh,Nishter Park ,Park/Ground,Medium,Open,Eid Miladun Nabi,Religious,Sunni,47.0,57.0,,100,1.0,5 kg,1. Liaquat National Hospital 2. Civil Hospital KHI 3. JPMC 4. Abbasi Shaheed Hospital,28.415,83.147,Wednesday,Wednesday-April 12-2006,14 Raby` al-awal 1427 A.H,"(24.9918,66.9911)",3,2006,5
